Timestamp,Classification,Accuracy
2023-01-31 01:50:35,Cat,5.86
2023-01-31 01:50:36,Noise,10.94
2023-01-31 01:50:39,Synthesizer,19.92
2023-01-31 01:50:40,Synthesizer,14.84
2023-01-31 01:50:44,"Inside, small room",5.86
2023-01-31 01:50:45,Noise,14.84
2023-01-31 01:50:48,"Inside, small room",8.2
2023-01-31 01:50:49,Aircraft,8.2
2023-01-31 01:50:52,"Inside, small room",5.86
2023-01-31 01:50:53,Synthesizer,10.94
2023-01-31 01:50:56,Synthesizer,5.86
2023-01-31 01:50:57,Cacophony,10.94
2023-01-31 01:51:01,Noise,5.86
2023-01-31 01:51:02,Speech,3.12
2023-01-31 01:51:04,Speech,3.12
2023-01-31 01:51:05,Synthesizer,41.41
2023-01-31 01:51:06,Speech,4.3
2023-01-31 01:51:09,"Inside, small room",8.2
2023-01-31 01:51:10,Noise,10.94
2023-01-31 01:51:13,Synthesizer,41.41
2023-01-31 01:51:14,Cacophony,14.84
2023-01-31 01:51:17,Synthesizer,41.41
2023-01-31 01:51:18,Synthesizer,14.84
2023-01-31 01:51:22,"Inside, small room",5.86
2023-01-31 01:51:23,Cacophony,5.86
2023-01-31 01:51:26,Synthesizer,26.17
2023-01-31 01:51:27,Speech,5.86
2023-01-31 01:51:29,Cat,10.94
2023-01-31 01:51:30,Synthesizer,19.92
2023-01-31 01:51:34,Speech,4.3
2023-01-31 01:51:35,Synthesizer,8.2
2023-01-31 01:51:36,Cat,10.94
2023-01-31 01:51:39,Microwave oven,4.3
2023-01-31 01:51:40,Cacophony,5.86
2023-01-31 01:51:44,"Inside, small room",8.2
2023-01-31 01:51:45,White noise,5.86
2023-01-31 01:51:48,Synthesizer,41.41
2023-01-31 01:51:49,Synthesizer,19.92
2023-01-31 01:51:52,Synthesizer,10.94
2023-01-31 01:51:53,Synthesizer,14.84
2023-01-31 01:51:57,Synthesizer,26.17
2023-01-31 01:51:58,White noise,8.2
2023-01-31 01:52:01,Synthesizer,26.17
2023-01-31 01:52:02,Synthesizer,14.84
2023-01-31 01:52:05,"Inside, small room",5.86
2023-01-31 01:52:06,"Inside, small room",4.3
2023-01-31 01:52:10,Synthesizer,10.94
2023-01-31 01:52:11,"Inside, small room",5.86
2023-01-31 01:52:14,Speech,3.12
2023-01-31 01:52:15,Synthesizer,8.2
2023-01-31 01:52:16,Speech,3.12
2023-01-31 01:52:19,Cat,8.2
2023-01-31 01:52:20,Synthesizer,5.86
2023-01-31 01:52:23,Synthesizer,19.92
